"company","title","year","period","link","location","description"
"Tesla","Autopilot Foundations Internship C/C++","","","","Palo Alto, California",""
"Tesla","Payroll Internship (Spring 2023)","","","","Draper, Utah",""
"Tesla","Immigration Internship (Spring 2023)","","","","Austin, Texas",""
"Tesla","Craftsmanship Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Firmware Engineer Internship, Autonomy","","","","Palo Alto, California",""
"Tesla","Autopilot Autonomy Tools Internship","","","","Palo Alto, California",""
"Tesla","Autopilot Backend Engineering Internship","","","","Palo Alto, California",""
"Tesla","Software Engineering Internship (Summer 2023)","","","","Palo Alto, California",""
"Tesla","Vehicle Controls Internship (Summer 2023)","","","","Palo Alto, California",""
"Tesla","Technical Editor Internship (Summer 2023)","","","","Palo Alto, California",""
"Tesla","Product Design Internship (Spring 2023)","","","","Hawthorne, California",""
"Tesla","Car Design Internship (Spring 2023)","","","","Hawthorne, California",""
"Tesla","Vehicle Controls Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Digital Modeling Internship (Summer 2023)","","","","Hawthorne, California",""
"Tesla","Learning Evaluation Internship (Spring 2023)","","","","Rogers, Minnesota",""
"Tesla","Instructional Design Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Power Systems Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Mechanical Engineer Internship (Spring 2023)","","","","Bellevue, Washington",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Portland, Oregon",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Bellevue, Washington",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Seattle, Washington",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Los Angeles, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Van Nuys, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Agoura Hills, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Irvine, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Buena Park, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Burbank, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Lake Forest, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Alhambra, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","San Diego, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Temecula, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Berkeley, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Rocklin, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Santa Clara, California",""
"Tesla","Parts Trainee (Parts Advisor Internship)","","","","Fremont, California",""
"Tesla","Sales Engineering Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Electrical Design Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Electrical Engineering Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Digital Content Internship (Spring 2023)","","","","Hawthorne, California",""
"Tesla","Software Integration Engineer Internship, Autonomy","","","","Palo Alto, California",""
"Tesla","Supercharger Operations Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Product Knowledge Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Business Analyst Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Battery Engineering Internship (Spring 2023)","","","","Austin, Texas",""
"Tesla","IT Operations Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Information Security Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Data Engineering/Scientist Internship (Spring 2023)","","","","Fremont, California",""
"Tesla","Product Management Internship (Spring 2023)","","","","Palo Alto, California",""
"Tesla","Public Policy Internship (Spring 2023)","","","","Washington, District Of Columbia",""
"Tesla","Manufacturing Engineering Internship (Spring 2023)","","","","Fremont, California",""
